Conteúdo,Título do vídeo,Horário de publicação do vídeo,"Marcações ""Gostei""",Inscrições obtidas,Porcentagem visualizada média (%),Duração média da visualização,Visualizações,Tempo de exibição (horas),Inscritos,Impressões
Phq6PFUWf0U,Aulão de Estatística Parte 3: Fuja do Nabo 06/09/2024,"Sep 7, 2024",12,1,22.6,0:12:13,204,41.586,1,2841
hDh9r6mqtV4,Introdução | Curso de Desenvolvimento Full Stack,"Feb 1, 2024",12,14,14.95,0:01:45,334,9.7501,14,2723
s0KU_hJL7sY,Resumo de Probabilidade 13 - Propriedades da Média/Esperança de uma Variável Aleatória,"Jun 24, 2020",12,3,43.55,0:01:31,655,16.5587,3,8652
wp4wlBs0BYg,Programação de A à R - Introdução ao R e RStudio,"May 27, 2024",12,0,16.66,0:02:02,70,2.381,0,2116
xXsdrcQfn2g,Fuja do Nabo POLI USP - Prova de Recuperação (Parte 3),"Feb 3, 2023",12,1,16.54,0:04:27,334,24.8115,1,6602
4hIWFTq7loE,Aulão 2 de Estatística THM e POLI USP - Parte 3,"Nov 4, 2023",11,1,20.19,0:04:22,211,15.3696,1,6692
RRFRXvgvp_w,Desvendando os Parâmetros: Conhecendo as Medidas Essenciais da População,"Nov 27, 2023",11,0,32.02,0:00:16,148,0.6845,0,3122
b1EMIwgPvuo,Aula 3 - DataViz Sem Barreiras - Jornada THM de Análise de Dados e Estatística no R,"Jan 19, 2023",11,0,11.89,0:04:38,85,6.5837,0,1390
nMEe1b7gCWg,Resumo de Probabilidade 14 - Variância de uma Variável Aleatória Discreta,"Jun 24, 2020",11,2,35.91,0:03:06,855,44.3474,2,10465
RcsklkElBJI,ENTENDA BOXPLOT DE UMA VEZ POR TODAS!,"Jun 7, 2023",10,7,11.45,0:00:40,161,1.813,6,3388
VVfOSHEZsJA,APRENDA CORRELAÇÃO NO R!,"Jun 21, 2023",10,0,30.74,0:01:49,51,1.5506,0,3255
fck7U2rYiW0,Exercício Teorema do Limite Central em 1 minuto.,"Jun 16, 2024",10,0,65.78,0:00:40,204,2.274,0,3439
DmEdlxzByD4,Aulão de Probabilidade Parte 4: Fuja do Nabo 01/07/2023,"Jul 1, 2023",9,0,21.76,0:03:30,223,13.0219,0,8253
Vb49ItH7obs,Entenda ANOVA de uma vez por todas! Acesse nossa playlist de Estatística Básica,"Jan 14, 2024",9,1,249.37,0:01:29,119,2.9675,1,6330
mbo6C3Jh8EM,Resumo de Probabilidade 12 - Exercício Esperança de uma função de uma Variável Aleatória Discreta,"Jun 24, 2020",9,2,43.89,0:01:04,635,11.3018,2,8782
 -GGLxtPobuk,Resumo de Probabilidade 21 - Distribuição de Poisson,"Jun 26, 2020",8,0,52.99,0:01:43,541,15.6077,0,7832
0CVboSlH2LY,Resolução de Exercícios de Análise de dados aplicada - Curso em Portugal,"Jun 23, 2023",8,0,4.59,0:02:37,102,4.4693,0,5524
3P_JZSJtj1s,"USE MÉDIA, MODA E MEDIANA DE FORMA INTELIGENTE!","May 31, 2023",8,2,22.09,0:01:23,58,1.3385,2,4007
rqgR8ZtDfOs,Exercício de Probabilidade - Distribuição Binomial | Teste 7 2022 POLI-USP,"Jun 12, 2024",8,0,22.52,0:01:55,70,2.2465,0,1427
zTztBdpvodA,Exercício de Probabilidade - Probabilidade Conjunta e Covariância | Teste 5 2022 POLI-USP,"Jun 7, 2024",8,1,19.05,0:02:00,119,3.9868,1,3656
