"Identificação da publicação","Identificação da conta","Nome de utilizador da conta","Nome da conta",Descrição,"Duração (segundos)","Hora de publicação","Ligação permanente","Tipo de publicação","Comentário sobre os dados",Data,Visualizações,Alcance,Gostos,Partilhas,Seguimentos,Comentários,"Itens guardados"
18249845266248329,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","As melhores teorias vieram das melhores abstrações 🤯

#thmestatistica #dados #datascience #statistics #data",0,"09/09/2024 14:30",https://www.instagram.com/p/C_ticbgvXnu/,"Carrossel do Instagram",,"Toda a duração",1724,1249,89,6,,0,15
18044560594825594,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Sempre é assim...🥲

#thmestatistica #dados #TCC #Tese #dissertacao #mestrado #doutorado",11,"09/06/2024 16:13",https://www.instagram.com/reel/C_l_48_qChK/,"Reel do IG",,"Toda a duração",4841,3595,161,42,3,1,9
17874539451154192,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","O teste de Mann-Kendall é ideal para entender o comportamento dos seus dados ao longo do tempo 🤯

#thmestatistica #dados #datascience #statistics #rstudio",0,"09/05/2024 14:01",https://www.instagram.com/p/C_jL8tkhReu/,"Carrossel do Instagram",,"Toda a duração",1077,672,58,2,,0,24
18073848772546732,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Antes de pensar em ARIMA e SARIMA, comece por uma boa ideia 😎

#thmestatistica #dados #datascience #statistics #ARIMA #SARIMA #timeseries",24,"09/03/2024 13:35",https://www.instagram.com/reel/C_d_X_Svzie/,"Reel do IG",,"Toda a duração",14632,10883,337,19,275,1,47
18025609901347282,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Nenhuma hipótese é testada em vão 🤯

#thmestatistica #dados #datascience #statistics #ecology #Rstudio",0,"09/02/2024 13:44",https://www.instagram.com/p/C_bbnwGKgJy/,"Carrossel do Instagram",,"Toda a duração",1695,1209,89,10,,0,16
18041780971964817,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","É meme 🫣

#thmestatistica #dados #estatistica #statistics #ChatGPT #AI",5,"08/30/2024 13:45",https://www.instagram.com/reel/C_TtbGcBOqM/,"Reel do IG",,"Toda a duração",5567,2851,110,33,1,0,7
18034587707132027,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Você já usou algum desses?

#thmestatistica #dados #statistics #rscience #Rstudio #SpatialAnalysis",24,"08/28/2024 14:30",https://www.instagram.com/reel/C_Oo8P3q07K/,"Reel do IG",,"Toda a duração",1182,993,36,3,,1,23
17995752641670955,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","O primeiro passo de um projeto em dados de sucesso, é fazer as perguntas corretas.

#thmestatistica #dados #estatistica #statistics #quotes",0,"08/27/2024 13:50",https://www.instagram.com/p/C_L_iG0Np2R/,"Carrossel do Instagram",,"Toda a duração",2837,2147,162,0,2,0,30
17929708805811953,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","🚀 Freelancer para Projeto de HealthTech 🚀

Temos uma oportunidade incrível para devs que querem fazer parte de um projeto inovador na área da saúde digital! 💻

Estamos buscando alguém para começar imediatamente e nos ajudar a desenvolver um WebApp com funcionalidades avançadas, incluindo autenticação, gráficos, tabelas e integração com scripts Python. 📊🗣️

Se você domina NextJS e NestJS e está pronto para um novo desafio, queremos você no nosso time!

Interessados, mandem uma mensagem direta ou entrem no email sugerido. 📩

#VagaFreela #HealthTech #DesenvolvimentoWeb #NextJS #NestJS #Python #OportunidadeDeTrabalho",0,"08/26/2024 15:47",https://www.instagram.com/p/C_JoME6SIyF/,"Carrossel do Instagram",,"Toda a duração",3053,1679,57,0,3,2,7
17849298384274002,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Ainda dá tempo de aprender 🫣

#thmestatistica #dados #statistics #datascience",8,"08/23/2024 14:18",https://www.instagram.com/reel/C_BvnftPoz6/,"Reel do IG",,"Toda a duração",7588,4135,112,12,3,2,12
